FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
120,PEVI,Perry's Victory and International Peace Memorial,9/1/2010 0:00:00,OH,MW,1082175,National Memorial,Lands,Perry's Victory & International Peace,-82.811904427000002,41.653790420000000
121,JAGA,James A. Garfield National Historic Site,9/7/2010 0:00:00,OH,MW,1888932,National Historic Site,Lands,James A Garfield,-81.350865571000000,41.664865491999997
122,CATO,Catoctin Mountain Park,9/15/2010 0:00:00,MD,NC,583623,Other Designation,Lands,Catoctin Mountain,-77.461221327999993,39.648213314000003
123,RABR,Rainbow Bridge National Monument,3/29/2010 0:00:00,UT,IM,23944,National Monument,Lands,Rainbow Bridge,-110.965509871999998,37.077887715000003
124,NABR,Natural Bridges National Monument,7/12/2010 0:00:00,UT,IM,1454484,National Monument,Lands,Natural Bridges,-110.002243590000006,37.604532904999999
125,BEOL,Bent's Old Fort National Historic Site,9/21/2010 0:00:00,CO,IM,2559483,National Historic Site,Lands,Bent's Old Fort,-103.426649917999995,38.039775462000001
126,PIMA,Hohokam Pima National Monument,9/20/2010 0:00:00,AZ,IM,25440,National Monument,Lands,Hohokam Pima,-111.919273742000001,33.187138771999997
127,GUIS,Gulf Islands National Seashore,10/5/2010 0:00:00,FL,SE,689020,National Seashore,Lands,Gulf Islands,-86.909965049999997,30.373064771999999
128,APCO,Appomattox Court House National Historical Park,10/7/2010 0:00:00,VA,NE,1462531,National Historical Park,Lands,Appomattox Court House,-78.800894021000005,37.382748231000001
129,PIPE,Pipestone National Monument,10/21/2010 0:00:00,MN,MW,649530,National Monument,Lands,Pipestone,-96.324755229000004,44.013519580000001
130,BISC,Biscayne National Park,12/2/2010 0:00:00,FL,SE,294450,National Park,Lands,Biscayne,-80.210238508000003,25.490586996000001
131,ARPO,Arkansas Post National Memorial,12/13/2010 0:00:00,AR,MW,2733432,National Memorial,Lands,Arkansas Post,-91.347327590000006,34.020725730000002
132,MORU,Mount Rushmore National Memorial,12/13/2010 0:00:00,SD,MW,1262098,National Memorial,Lands,Mount Rushmore,-103.452518612000006,43.880370214999999
133,GUMO,Guadalupe Mountains National Park,12/21/2010 0:00:00,TX,IM,1377201,National Park,Lands,Guadalupe Mountains,-104.884347171000002,31.923384209999998
134,CIRO,City of Rocks National Reserve,10/3/2007 0:00:00,ID,PW,401309,National Reserve,Lands,City of Rocks,-113.712409719999997,42.069902401999997
135,HAFO,Hagerman Fossil Beds National Monument,9/4/2008 0:00:00,ID,PW,395749,National Monument,Lands,Hagerman Fossil Beds,-114.953998908000003,42.775574956000000
136,PETE,Petersburg National Battlefield,2/2/2011 0:00:00,VA,NE,1498529,National Battlefield,Lands,Petersburg,-77.363016805000001,37.227995894999999
137,FOVA,Fort Vancouver National Historic Site,3/3/2011 0:00:00,WA,PW,1504974,National Historic Site,Lands,Fort Vancouver,-122.661637587000001,45.623560394999998
138,SAGA,Saint-Gaudens National Historic Site,3/9/2011 0:00:00,NH,NE,1888960,National Historic Site,Lands,Saint-Gaudens,-72.374031629000001,43.500468867999999
139,JOFI,John Fitzgerald Kennedy National Historic Site,10/28/2010 0:00:00,MA,NE,607138,National Historic Site,Lands,John F Kennedy,-71.123238463000007,42.346936939000003
140,JEFF,Gateway Arch National Park,10/28/2010 0:00:00,MO,MW,765817,National Park,Lands,Gateway Arch,-90.175629293000000,38.622116276000000
141,FOPU,Fort Pulaski National Monument,12/21/2010 0:00:00,GA,SE,314296,National Monument,Lands,Fort Pulaski,-80.943628591000007,32.034777609000002
